''<small>biological</small>  gender''  –  '''lo te seksi'''

''<small>method of</small>  vaccination''  –  '''lo ve jinku'''

''<small>in other</small>  words''  –  '''va&apos;i'''

''%''  –  '''ce&apos;i'''

''&#44; (comma)''  –  '''slaka bu'''

''&apos; (letter)''  –  '''y&apos;y'''

''( (bracket)''  –  '''vei'''

'') (bracket)''  –  '''ve&apos;o'''

''+ (addition operator)''  –  '''su&apos;i'''

''. (symbol)''  –  '''denpa bu'''

''/ (division operator)''  –  '''fe&apos;i'''

''<small>to</small> belong to (be owned by)''  –  '''se ponse'''

''<small>to</small> belong to (the group)''  –  '''me'''

''<small>what is</small> below''  –  '''lo se cpana'''

''bench''  –  '''lo stizu'''

''<small>what is</small> beneath''  –  '''lo cnita'''

''benefit''  –  '''lo prali'''

''benefiting from ...''  –  '''se xau'''

''bent''  –  '''lo korcu'''

''berry''  –  '''lo jbari'''

''besides''  –  '''ta&apos;o ji&apos;a'''

''best''  –  '''lo traji be lo ka zabna, lo te rai zabna'''

''best''  –  '''traji lo ka xamgu'''

''better''  –  '''se mau xau'''

''better''  –  '''zmadu fi lo ka xamgu'''

''between ... and ...''  –  '''bi&apos;i'''

''between ... and ... (ordered)''  –  '''bi&apos;o'''

''<small>something</small> between''  –  '''lo jbini'''

''<small>to be</small> between''  –  '''jbini'''

''between me and ...''  –  '''ca&apos;u'''

''beverage''  –  '''lo se pinxe'''

''beyond (in space)''  –  '''fe&apos;e ba&apos;o'''

''beyond ...''  –  '''ze&apos;o'''

''<small>to</small> bid farewell to''  –  '''tolrinsa'''

''big''  –  '''lo barda'''

''big''  –  '''ve&apos;u'''

''bill''  –  '''lo janta'''

''<small>to</small> bind''  –  '''lasna'''

''biped (on two feet legs)''  –  '''lo se jamfu be re da'''

''bird''  –  '''lo cipni'''

''birth giver''  –  '''lo se jbena'''

''bit (data)''  –  '''lo se bitni'''

''<small>to</small> bite''  –  '''batci'''

''bitten''  –  '''lo se batci'''

''bitter (taste)''  –  '''lo kurki'''

''black''  –  '''lo xekri'''

''blade''  –  '''lo balre'''

''blade''  –  '''lo guska'''

''Blah! (weariness)''  –  '''u&apos;i nai'''

''blanket''  –  '''lo boxfo'''

''block''  –  '''lo bliku'''

''<small>to</small> block (prevent from happening)''  –  '''fanta'''

''<small>to</small> block (prevent from passing)''  –  '''julne'''

''blond''  –  '''lo blondine'''

''blood''  –  '''lo ciblu'''

''bloody (bad)''  –  '''lo mabla'''

''blooming''  –  '''lo se flora'''

''blow (wind)''  –  '''brife'''

''blue''  –  '''lo blanu'''

''board''  –  '''lo tanbo'''

''boat''  –  '''lo bloti'''

''body (corpse)''  –  '''lo xadni'''

''body position''  –  '''lo asna'''

''<small>to</small> boil''  –  '''febvi'''

''<small>something</small> boiling''  –  '''lo febvi'''

